time,reader,port,beam,epc,crc,rssi,session,target,power,field,zone,
8/11/15 10:21:19.711,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,49,S0,A,270,3,1,
8/11/15 10:21:19.720,192.168.225.67,2,3,FFFF22222222222222220065,803B,43,S0,A,270,3,1,
8/11/15 10:21:19.721,192.168.225.67,2,3,E280116060000205288FAAF6,EC2B,45,S0,A,270,3,1,
8/11/15 10:21:19.750,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,45,S0,A,270,3,1,
8/11/15 10:21:19.789,192.168.225.67,2,0,ABA1ABA1ABA1ABA1ABA10028,24BE,45,S0,A,270,2,1,
8/11/15 10:21:20.141,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,46,S0,A,270,3,1,
8/11/15 10:21:20.180,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,46,S0,A,270,3,1,
8/11/15 10:21:20.220,192.168.225.67,2,0,ABA1ABA1ABA1ABA1ABA10001,91F5,46,S0,A,270,2,1,
8/11/15 10:21:20.260,192.168.225.67,1,0,ABA1ABA1ABA1ABA1ABA10015,C340,42,S0,A,270,2,1,
8/11/15 10:36:21.934,192.168.225.66,2,0,E280681000000039129592FA,B112,43,S0,A,270,3,1,
8/11/15 10:21:20.289,192.168.225.67,2,3,FFFF22222222222222220065,803B,42,S0,A,270,3,1,
8/11/15 10:21:20.300,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,48,S0,A,270,3,1,
8/11/15 10:36:21.975,192.168.225.66,1,3,3014025512745D8D15000012,234B,49,S0,A,270,2,1,
8/11/15 10:21:20.329,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,45,S0,A,270,3,1,
8/11/15 10:21:20.339,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:20.371,192.168.225.67,2,0,ABA1ABA1ABA1ABA1ABA10001,91F5,46,S0,A,270,2,1,
8/11/15 10:21:20.730,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,48,S0,A,270,3,1,
8/11/15 10:21:20.730,192.168.225.67,2,3,E280116060000205288FAAF6,EC2B,43,S0,A,270,3,1,
8/11/15 10:21:20.740,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,42,S0,A,270,3,1,
8/11/15 10:21:20.770,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,46,S0,A,270,3,1,
8/11/15 10:21:20.780,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:20.780,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,50,S0,A,270,3,1,
8/11/15 10:21:20.880,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,47,S0,A,270,3,1,
8/11/15 10:21:20.890,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,48,S0,A,270,3,1,
8/11/15 10:36:22.565,192.168.225.66,1,3,3014025512745D8D15000012,234B,54,S0,A,270,2,1,
8/11/15 10:21:20.930,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,42,S0,A,270,3,1,
8/11/15 10:21:21.310,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,48,S0,A,270,3,1,
8/11/15 10:21:21.311,192.168.225.67,2,3,E280116060000205288FAAF6,EC2B,43,S0,A,270,3,1,
8/11/15 10:21:21.321,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,45,S0,A,270,3,1,
8/11/15 10:21:21.350,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:21.449,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,46,S0,A,270,3,1,
8/11/15 10:21:21.459,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,48,S0,A,270,3,1,
8/11/15 10:21:21.460,192.168.225.67,2,3,FFFF22222222222222220065,803B,43,S0,A,270,3,1,
8/11/15 10:21:21.491,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,43,S0,A,270,3,1,
8/11/15 10:21:21.491,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,45,S0,A,270,3,1,
8/11/15 10:36:23.225,192.168.225.66,2,0,E280681000000039129592FA,B112,46,S0,A,270,3,1,
8/11/15 10:21:21.871,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,46,S0,A,270,3,1,
8/11/15 10:21:21.880,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:21.949,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,46,S0,A,270,3,1,
8/11/15 10:21:21.960,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,43,S0,A,270,3,1,
8/11/15 10:36:23.685,192.168.225.66,2,0,E280681000000039129592FA,B112,43,S0,A,270,3,1,
8/11/15 10:21:22.019,192.168.225.67,1,0,ABA1ABA1ABA1ABA1ABA10015,C340,45,S0,A,270,2,1,
8/11/15 10:21:22.059,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,46,S0,A,270,3,1,
8/11/15 10:36:23.736,192.168.225.66,1,3,AD9425001119159354000053,10D,48,S0,A,270,2,1,
8/11/15 10:21:22.100,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,46,S0,A,270,3,1,
8/11/15 10:21:22.130,192.168.225.67,2,0,ABA1ABA1ABA1ABA1ABA10022,85F4,45,S0,A,270,2,1,
8/11/15 10:21:22.140,192.168.225.67,2,0,ABA1ABA1ABA1ABA1ABA10016,F323,43,S0,A,270,2,1,
8/11/15 10:21:22.489,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,48,S0,A,270,3,1,
8/11/15 10:36:24.174,192.168.225.66,1,3,3014025512745D8D15000012,234B,48,S0,A,270,2,1,
8/11/15 10:21:22.520,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,42,S0,A,270,3,1,
8/11/15 10:36:24.214,192.168.225.66,2,3,E28068100000003910D258F5,CC37,43,S0,A,270,2,1,
8/11/15 10:21:22.609,192.168.225.67,1,0,ABA1ABA1ABA1ABA1ABA10015,C340,42,S0,A,270,2,1,
8/11/15 10:21:22.640,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,43,S0,A,270,3,1,
8/11/15 10:21:22.640,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,46,S0,A,270,3,1,
8/11/15 10:21:22.650,192.168.225.67,2,3,E280116060000205288FAAF6,EC2B,43,S0,A,270,3,1,
8/11/15 10:21:22.680,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,46,S0,A,270,3,1,
8/11/15 10:21:22.690,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,43,S0,A,270,3,1,
8/11/15 10:21:22.699,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,45,S0,A,270,3,1,
8/11/15 10:36:24.444,192.168.225.66,2,0,E280681000000039129592FA,B112,44,S0,A,270,3,1,
8/11/15 10:21:23.079,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,49,S0,A,270,3,1,
8/11/15 10:36:24.754,192.168.225.66,1,3,AD94180016C4959053000024,2D7E,49,S0,A,270,2,1,
8/11/15 10:21:23.090,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
